Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Field Label Only Not Used in Data Dictionary,Field 1
record_id,cohort_tracing,,text,Database ID,,,,,,,,,,,,,"Update in this version include: updated variable label to include question number inf CRF 13, updated category to peripancreatic instead of per-pancreas, change logic of pregnant variable to not show for child cohort",Database ID,
personnel,cohort_tracing,,text,REDCap ID of Data Entry Personnel,,,,,,,,,,,,,@USERNAME @READONLY ,REDCap ID of Data Entry Personnel,
version,cohort_tracing,,descriptive,Form Version: 10/06/2022 16:26:07,,,,,,,,,,,,,@READONLY ,10/06/2022 16:26,
timestamp,cohort_tracing,,text,Date of Data Entry,,,,,,,,,,,,,@NOW @HIDDEN,Date of Data Entry,
languages,cohort_tracing,,dropdown,Languages:,"1, English | 2, Swahili | 3, Cebuano | 4, Hiligaynon",,,,,,,,,,,,@HIDDEN,Languages:,
cohort,cohort_tracing,Study Identifier,radio,Study cohort,"1, DIVIDS | 2, SAM Lusaka | 3, CICADA | 4, NUSTART Lusaka | 5, St-ATT | 6, CLHNS",,,,,,,y,,,,,@NOMISSING,Study cohort,
incorrect_cohort,cohort_tracing,,calc,Flag Incorrect Cohort,"if([cohort]='','',
if([user-dag-id]='71' and [cohort]='1','0', 
if([user-dag-id]='72' and ([cohort]='2' or [cohort]='4') ,'0', 
if([user-dag-id]='73' and [cohort]='3','0', 
if([user-dag-id]='74' and ([cohort]='2' or [cohort]='4'),'0',
if([user-dag-id]='75' and [cohort]='5','0',
if([user-dag-id]='76' and [cohort]='6','0','1')))))))",,,,,,,,,,,,@HIDDEN,Flag Incorrect Cohort,
incohort,cohort_tracing,,descriptive,"<div class=""rich-text-field-label""><h1 class=""red"" style=""text-align: center;""><span style=""font-weight: normal;"">You have selected the incorrect cohort for the participant. Please review.</span></h1></div>",,,,,,,[incorrect_cohort]='1',,,,,,,"<div class=""rich-text-field-label""><h1 class=""red"" style=""text-align: center;""><span style=""font-weight: normal;"">You have selected the incorrect cohort for the participant. Please review.</span></h1></div>",
sampa_id,cohort_tracing,,text,SAMPA ID,,,,,,,,y,,,,,@BARCODE-APP @NOMISSING,SAMPA ID,
orgid,cohort_tracing,,text,ID from original study,,,,,,,,y,,,,,@NOMISSING @BARCODE-APP,ID from original study,
first,cohort_tracing,,text,Participant's First Name Initial,,,alpha_only,,,,,y,,,,,@CHARLIMIT=1 @NOMISSING,Participant's First Name Initial,
middle,cohort_tracing,,text,Participant's Middle Name Initial,,,alpha_only,,,,,,,,,,@CHARLIMIT=1 @NOMISSING,Participant's Middle Name Initial,
last,cohort_tracing,,text,Participant's Last Name Initial,,,alpha_only,,,,,y,,,,,@CHARLIMIT=1 @NOMISSING,Participant's Last Name Initial,
sex,cohort_tracing,,radio,[2.2] Participant's sex,"1, Male | 2, Female",,,,,y,,y,,[2.2],,,@NOMISSING,Participant's sex,2.2
dob,cohort_tracing,,text,[2.3] Participants date of birth,,"If the participant is unsure, estimate month and use the 15th of the month",date_dmy,,,y,,y,,[2.3],,,@NOMISSING,Participants date of birth,2.3
age,cohort_tracing,,calc,Age (years),"round(datediff([dob],'today','y'),0)",,,,,y,,y,,,,,@NOMISSING,Age (years),
confirm,cohort_tracing,,checkbox,"<div class=""red"" style=""text-align:left;"">
I confirmed that the keyidentifiers have been verified to be correct.
</div>","1, Yes",,,,,,,,,,,,,"<div class=""red"" style=""text-align:left;"">
I confirmed that the keyidentifiers have been verified to be correct.
</div>",
gr_date1,cohort_tracing,Trace Attempt,text,Date of First Contact,,Format: D-M-Y (Day-Month-Year),date_dmy,,,,,,,,,,,Date of First Contact,
tr_contact1,cohort_tracing,,radio,Were you able to contact the participant?,"0, No | 1, Yes",,,,,,,,,,,,,Were you able to contact the participant?,
tr_method1,cohort_tracing,,radio,How did you attempt to contact the participant?,"1, cellphone| 2, telephone | 3, email | 4, home visit",,,,,,,,,,,,,How did you attempt to contact the participant?,
tr_reas_noc_phone1,cohort_tracing,,radio,Why were you not able to contact the participant by [tr_method1]?,"1, wrong phone number | 2, incorrect email | 3, address changed | 4, Others {tr_reas_other1}",,,,,,[tr_contact1]='0',,,,,,,Why were you not able to contact the participant by [tr_method1]?,
tr_reas_other1,cohort_tracing,,text,"Others, specify",,,,,,,[tr_reas_noc_phone1]='4',,,,,,,"Others, specify",
gr_date2,cohort_tracing,,text,Date of Second Contact,,Format: D-M-Y (Day-Month-Year),date_dmy,,,,[tr_contact1]='0',,,,,,,Date of Second Contact,
tr_contact2,cohort_tracing,,radio,Were you able to contact the participant?,"0, No | 1, Yes",,,,,,[tr_contact1]='0',,,,,,,Were you able to contact the participant?,
tr_method2,cohort_tracing,,radio,How did you attempt to contact the participant?,"1, cellphone| 2, telephone | 3, email | 4, home visit",,,,,,[tr_contact1]='0',,,,,,,How did you attempt to contact the participant?,
tr_reas_noc_phone2,cohort_tracing,,radio,Why were you not able to contact the participant by [tr_method2]?,"1, wrong phone number | 2, incorrect email | 3, address changed | 4, Others  {tr_reas_other2}",,,,,,[tr_contact2]='0',,,,,,,Why were you not able to contact the participant by [tr_method2]?,
tr_reas_other2,cohort_tracing,,text,"Others, specify",,,,,,,[tr_reas_noc_phone2]='4',,,,,,,"Others, specify",
gr_date3,cohort_tracing,,text,Date of Third Contact,,Format: D-M-Y (Day-Month-Year),date_dmy,,,,[tr_contact2]='0',,,,,,,Date of Third Contact,
tr_contact3,cohort_tracing,,radio,Were you able to contact the participant?,"0, No | 1, Yes",,,,,,[tr_contact2]='0',,,,,,,Were you able to contact the participant?,
tr_method3,cohort_tracing,,radio,How did you attempt to contact the participant?,"1, cellphone| 2, telephone | 3, email | 4, home visit",,,,,,[tr_contact2]='0',,,,,,,How did you attempt to contact the participant?,
tr_reas_noc_phone3,cohort_tracing,,radio,Why were you not able to contact the participant by [tr_method3]?,"1, wrong phone number | 2, incorrect email | 3, address changed | 4, Others  {tr_reas_other3}",,,,,,[tr_contact3]='0',,,,,,,Why were you not able to contact the participant by [tr_method3]?,
tr_reas_other3,cohort_tracing,,text,"Others, specify",,,,,,,[tr_reas_noc_phone3]='4',,,,,,,"Others, specify",
agree,cohort_tracing,,radio,Did the participant agree to join the SAMPA study?,"0, No, they do not agree | 1, Yes, they agree | 2, Unable to contact participant | 3, Undecided",,,,,,,,,,,,,Did the participant agree to join the SAMPA study?,
disagree_why,cohort_tracing,,text,"If not, please specify reasons why they prefer not to join the study",,,,,,,[agree]='0',,,,,,,"If not, please specify reasons why they prefer not to join the study",
